xy,trap,time,yfpmean,area,yfpmean5by5,yfpsd5by5,yfpmax5by5,num5by5
24,2,1,0.00320425754122333,334,0.00321678786165208,1.69729530549079e-05,0.00326176852063783,187
24,2,2,0.00320060268567922,334,0.00320856267765643,1.38267265541101e-05,0.00323552300297551,187
24,2,3,0.00321490230799558,334,0.00322303508473449,1.14051561164096e-05,0.00324773022049287,187
24,2,4,0.00320160777095385,334,0.00320871934782778,1.08149399370768e-05,0.00323674372472725,187
24,2,5,0.00320448596969484,334,0.00321340966108244,1.09873263481863e-05,0.00324345769436179,187
24,2,6,0.00321156725231157,334,0.00321970257963149,1.07850043783283e-05,0.00323857480735485,187
24,2,7,0.00320846062509907,334,0.00322197429711601,1.63638561430951e-05,0.00325993743801022,187
24,2,8,0.00320745553982444,334,0.0032186385280511,1.49599528864479e-05,0.00325078202487221,187
24,2,9,0.00321184136647738,334,0.00321931416816503,1.19851862161536e-05,0.00324834058136873,187
24,2,10,0.00321467387952407,334,0.00322771887006535,2.02406810128497e-05,0.00327336537727932,187
24,2,11,0.00321161293800587,334,0.00322513707620005,4.1479702481861e-05,0.00332768749523156,187
24,2,12,0.00321481093660698,334,0.00323249404632949,4.1420987790081e-05,0.00333745326924544,187
24,2,13,0.00320667888302131,334,0.00321825011658464,2.63261049679092e-05,0.00327031357289998,187
24,2,14,0.00321380585133235,334,0.00322880576937906,2.79227680779255e-05,0.00329045548180362,187
24,2,15,0.00321426270827536,334,0.00322760136743684,1.67751014089379e-05,0.00325932707713436,187
24,2,16,0.00321558746250553,349,0.00322620421041112,2.01376747610004e-05,0.0032660410467689,198
24,2,17,0.00321576235100865,349,0.00322291196083826,1.13342248585115e-05,0.00324467841611353,198
24,2,18,0.00321720518115934,349,0.0032248016134489,1.30446657511437e-05,0.00325505455100328,198
24,2,19,0.00321038452953789,349,0.00322210431159847,1.50950446263979e-05,0.00325810635538262,198
24,2,20,0.00321104036142457,349,0.00322010060165245,1.38157372813824e-05,0.00325505455100328,198
24,2,21,0.00320959753127388,349,0.00321771156287064,9.54815989974869e-06,0.00323796444647898,198
24,2,22,0.00321242566246239,342,0.00322153818806194,1.2776740560965e-05,0.00324834058136873,194
24,2,23,0.00321715506690991,342,0.00322700312023402,1.35328740129053e-05,0.00326115815976196,194
24,2,24,0.00321487959873233,342,0.00322932500851438,1.62163442867301e-05,0.00325993743801022,194
24,2,25,0.00322335683311939,342,0.00322782742203544,1.10067019156483e-05,0.00325322346837568,194
24,2,26,0.0032167535137021,342,0.00322326859260692,1.39980127072754e-05,0.00325017166399634,194
24,2,27,0.00321106763995202,343,0.00322110086764057,1.20353339387717e-05,0.00324406805523766,194
24,2,28,0.00321578325604838,343,0.00322280295647482,1.40446956105723e-05,0.00324773022049287,194
24,2,29,0.00321818555104086,343,0.00322664130837461,1.21628608243226e-05,0.00325871671625849,194
24,2,30,0.00321524941271672,343,0.00322188426897094,1.07866589808072e-05,0.00324162661173419,194
24,2,31,0.00322490307963095,343,0.00323318538374474,1.18223950475289e-05,0.00325993743801022,194
24,2,32,0.00321618363854713,343,0.00322936276279536,3.73856560937219e-05,0.00332768749523156,194
24,2,33,0.00321542736049394,343,0.00322632983555651,2.56512374450027e-05,0.00327885862516213,194
24,2,34,0.0032099999532887,343,0.0032204558986738,1.62621341966801e-05,0.0032489509422446,194
24,2,35,0.00321858593353961,343,0.00322886881095252,2.78956568719302e-05,0.00329106584267948,194
24,2,36,0.00321653953410157,343,0.00322634556650692,1.26573795190709e-05,0.00325993743801022,194
24,2,37,0.00321066725745328,343,0.00322132739332646,1.55684719437022e-05,0.00325566491187915,194
24,2,38,0.00321355890883312,343,0.00322011925633505,1.35059907628194e-05,0.00324956130312047,194
24,2,39,0.00321337049353959,357,0.00322040460343747,1.30058451341262e-05,0.00325200274662394,204
24,2,40,0.00321302855467356,357,0.00322175098772247,1.57731174779297e-05,0.00325993743801022,204
24,2,41,0.00321093417911911,357,0.00322178988326848,1.3648285786802e-05,0.00324467841611353,204
24,2,42,0.00320879706120641,357,0.00321737374281367,1.08262817917606e-05,0.00323735408560311,204
24,2,43,0.00321260113109102,357,0.00322245110755068,1.34460754401824e-05,0.003247119859617,204
24,2,44,0.00321384065948038,357,0.00322240622807451,1.51031994528593e-05,0.00325261310749981,204
24,2,45,0.00321704633634944,357,0.00322514986005083,1.16636028949601e-05,0.00324650949874113,204
24,2,46,0.0032113188603434,357,0.00321819054927991,1.47014861557034e-05,0.0032489509422446,204
24,2,47,0.00321584955031832,357,0.00322590682721552,1.64113800246994e-05,0.00326543068589303,204
24,2,48,0.0032102930437453,357,0.00322754044014799,4.15447733025356e-05,0.00333012893873503,204
24,2,49,0.00321452453721245,357,0.00323251009414218,4.50500682435479e-05,0.00334294651712825,204
24,2,50,0.00321268661580752,357,0.00322605343350433,4.03995680493923e-05,0.00332829785610742,204
24,2,51,0.00321054059323685,360,0.00322393499214381,3.74674513051037e-05,0.00331853208209354,207
24,3,1,0.00320982397121367,430,0.00321605927282284,1.00358064573812e-05,0.00324406805523766,261
24,3,2,0.00321124341511103,430,0.00321778044372183,9.46269542386351e-06,0.00324406805523766,261
24,3,3,0.00322327320214122,430,0.00322981928582516,9.95417835563704e-06,0.00325505455100328,261
24,3,4,0.00320982397121367,430,0.00321677486833247,1.20150266261907e-05,0.00325017166399634,261
24,3,5,0.00320918522145985,430,0.00321535537005028,1.42808862243183e-05,0.00325139238574807,261
24,3,6,0.00321174022047511,430,0.00321898479564165,1.14446642684818e-05,0.00325139238574807,261
