xy,trap,time,yfpmean,area,yfpmean5by5,yfpsd5by5,yfpmax5by5,num5by5
1,5,1,0.00318195738864405,355,0.00318845773845193,1.32274423508913e-05,0.00322514686808576,199
1,5,2,0.0031860837720302,355,0.00319145740144991,1.17678467104609e-05,0.0032166018158236,199
1,5,3,0.0031882759132041,355,0.00319396325489506,1.49756475563275e-05,0.00322697795071336,199
1,5,4,0.00318989852750438,360,0.00319583458621871,1.20238503586598e-05,0.00321904325932708,204
1,5,5,0.00318532082093537,360,0.00319333031144861,1.42911796571106e-05,0.00322514686808576,204
1,5,6,0.00318404923577731,360,0.00318792083858797,1.16509288225688e-05,0.00321843289845121,204
1,5,7,0.00318366776022989,360,0.00318931509431422,1.11271075447945e-05,0.00320988784618906,204
1,5,8,0.00317137577036867,360,0.00317783791627584,1.72312118509396e-05,0.00322941939421683,204
1,5,9,0.00318349821554215,360,0.00319059864733259,1.09904069777854e-05,0.00321660181582361,204
1,5,10,0.00318227946794089,365,0.00318516823071641,1.38458139273957e-05,0.00321355001144427,206
1,5,11,0.00318671085512185,365,0.00319009259855958,9.29659802459843e-06,0.0032111085679408,206
1,5,12,0.00318947002072509,365,0.00319682730861223,1.3725979389103e-05,0.00322880903334096,206
1,5,13,0.00318755991653978,368,0.00319436306907847,1.09024927421385e-05,0.00321721217669947,209
1,5,14,0.00318206238396784,384,0.00318684949749266,9.41941725495706e-06,0.00321355001144427,220
1,5,15,0.00317880394700032,384,0.00318261581250824,9.49872405512241e-06,0.00320683604180972,220
1,5,16,0.00318512004433146,399,0.00318906191216592,9.97237795133109e-06,0.00322087434195468,232
1,5,17,0.00318515828749411,399,0.00318911716034864,1.11629024430624e-05,0.0032129396505684,232
1,5,18,0.00318240477978343,399,0.00318819109557146,1.49758114927403e-05,0.00321782253757534,232
1,5,19,0.00318007194686188,399,0.00318431846104872,8.49719782281311e-06,0.00320561532005798,232
1,5,20,0.00319311286532497,399,0.0031984830427542,1.06848085853526e-05,0.00322514686808576,232
1,5,21,0.00318030140583777,399,0.00318571545081202,1.27960773957861e-05,0.00320927748531319,232
1,5,22,0.0031773184391512,399,0.00318447631299937,1.79423941530635e-05,0.00324101625085832,232
1,5,23,0.00318534950330735,399,0.0031915638655838,1.52353231953515e-05,0.00322758831158923,232
1,5,24,0.00318932679222278,399,0.00319519446044888,1.33255672653421e-05,0.00322636758983749,232
1,5,25,0.00318519653065676,399,0.00319238732659305,1.22788176455275e-05,0.00322331578545815,232
1,5,26,0.00319078003240342,399,0.00319573115708111,1.33341885629085e-05,0.00322392614633402,232
1,5,27,0.00319104773454196,399,0.00319804631902405,1.380047704163e-05,0.00322514686808576,232
1,5,28,0.0031889443605963,399,0.00319544702356993,1.14370181227863e-05,0.00322148470283055,232
1,5,29,0.00318527301698206,399,0.00319183484476576,1.20185963710901e-05,0.00322636758983749,232
1,5,30,0.00318630558237356,399,0.00319217685732551,1.06634977866207e-05,0.00321904325932708,232
1,5,31,0.00319001516915045,399,0.00319505239369329,9.44331975229662e-06,0.00321660181582361,232
1,5,32,0.00320076149785464,399,0.00320888285543655,1.24564159186052e-05,0.00323369192034791,232
1,5,33,0.00319208029993347,399,0.00319760696442806,1.28686621506254e-05,0.00322514686808576,232
1,5,34,0.0031947190781562,399,0.00320348958045582,1.02509553164633e-05,0.00322514686808576,232
1,5,35,0.00318496707168087,399,0.0031910350615491,1.51324127911047e-05,0.00321904325932708,232
1,5,36,0.00319548394140917,399,0.0032044393230256,1.62086275988191e-05,0.00323735408560311,232
1,5,37,0.0031902063849637,399,0.00319757802490378,1.29772234702657e-05,0.00322270542458228,232
1,5,38,0.00318209883448224,399,0.00318654154268711,1.31439872334157e-05,0.00322575722896162,232
1,5,39,0.00319338056746351,399,0.00320007471658998,9.36523502562194e-06,0.00322819867246509,232
1,5,40,0.00318634382553621,399,0.00319138233584055,1.20698664233045e-05,0.00321721217669947,232
1,5,41,0.00319751082902953,399,0.00320509967035251,1.57657123573324e-05,0.0032318608377203,232
1,5,42,0.00318366680415083,399,0.00318873305393538,1.13952028491591e-05,0.00322026398107881,232
1,5,43,0.00319418367387913,399,0.00320444458475729,1.16797527303547e-05,0.00322636758983749,232
1,5,44,0.0031842022084279,399,0.00319096402817131,1.40056357919626e-05,0.00322331578545815,232
1,5,45,0.00320213825170999,399,0.00320919066674033,1.6042839183191e-05,0.00323857480735485,232
1,5,46,0.00318752936357831,399,0.00319279247993307,1.39529707054331e-05,0.00322209506370642,232
1,5,47,0.00318519653065676,399,0.00319117975917054,1.14679012834413e-05,0.00322331578545815,232
1,5,48,0.00317869519300654,399,0.00318291094782204,1.08698284264631e-05,0.00321110856794079,232
1,5,49,0.00320030257990286,399,0.00320672028371257,1.43049703133316e-05,0.00324101625085832,232
1,5,50,0.00318848544264452,399,0.00319655461809036,1.36577946348259e-05,0.00322880903334096,232
1,5,51,0.00319399245806588,399,0.00320117704937872,1.67425051591651e-05,0.00323674372472725,232
1,7,1,0.0032064047688555,334,0.00321287522358706,1.23576022541754e-05,0.00323735408560311,180
1,7,2,0.00321513073646709,334,0.00321816840873833,9.53983739785551e-06,0.00324162661173419,180
1,7,3,0.00321298350883492,334,0.00321941964853386,1.0574767196142e-05,0.00323674372472725,180
1,7,4,0.0032125266518919,334,0.00321724269474327,1.22323009360076e-05,0.00323674372472725,180
1,7,5,0.00321677542146194,334,0.00322191873723117,1.6351564292875e-05,0.00325566491187915,180
1,7,6,0.00320782102537885,334,0.00321242084382391,1.23796414959447e-05,0.00324284733348592,180
