"xy","trap","firstobsflindex","lastobsflindex"
1,5,1,80
1,7,1,80
1,10,1,80
2,2,1,68
2,4,1,22
2,7,1,80
3,2,1,80
3,5,1,80
3,6,1,80
3,7,1,80
4,4,1,80
4,5,1,80
4,6,1,80
4,7,1,80
4,9,1,80
4,10,1,80
5,2,1,80
5,3,1,77
5,4,1,80
5,6,1,49
5,7,1,53
5,8,1,80
5,9,1,43
5,10,1,80
6,7,1,80
7,7,1,80
7,8,1,43
8,5,1,60
