"xy","trap","firstobsflindex","lastobsflindex"
24,2,1,80
24,3,1,80
24,4,1,80
24,5,1,80
24,8,1,80
24,9,1,30
25,2,1,80
25,4,1,80
25,7,1,80
25,8,1,80
25,9,1,80
26,7,1,80
26,8,1,80
28,4,1,80
28,5,1,80
29,1,1,80
29,2,1,61
30,4,1,80
30,8,1,80
31,1,1,80
31,3,1,80
31,6,1,80
31,7,1,80
31,8,1,80
31,9,1,80
32,1,1,80
