"xy","trap","firstobsflindex","lastobsflindex"
1,2,1,80
1,3,1,22
1,4,1,74
1,5,1,80
1,6,1,80
1,7,1,80
1,9,1,73
1,10,1,45
2,2,1,80
2,5,1,80
2,6,1,79
2,7,1,80
2,8,1,80
2,10,1,21
3,1,1,19
3,4,1,80
3,7,1,80
4,8,1,80
4,10,1,80
5,5,1,80
5,7,1,80
6,2,1,36
6,5,1,80
6,8,1,80
6,9,1,80
7,2,1,80
7,6,1,80
7,8,1,72
