"strain","doxtime","expstrain","ageatdox","sem"
"yTY159b",169,"SSAcontrol",20.7175925925926,0.467592592592593
"yTY160a",169,"SSAcontrol+RFPdegron",20.6564516129032,0.0435483870967737
